case_id,inquiry_text,category,priority,routed_queue
CASE-0001,Can I track my order without logging into the dealer portal?,ordering,low,Order Management Team
CASE-0002,The automatic emergency braking activated with nothing ahead.,technical,high,Technical Support Team
CASE-0003,The brake fluid warning appeared and the pedal feels soft.,service,high,Service Scheduling Team
CASE-0004,Can I get notified when a new trim becomes available in the configurator?,configurator,low,Digital Product / Configurator Support
CASE-0005,The engine stalls at every red light since the last tune-up.,service,high,Service Scheduling Team
CASE-0006,What are your customer service hours on weekends?,general,low,Customer Care Team
CASE-0007,The dealer wants payment upfront for what should be a warranty job.,warranty,high,Warranty Claims Team
CASE-0008,I ordered two months ago and can't reach anyone for an update.,ordering,medium,Order Management Team
CASE-0009,Can I get an estimate for replacing the timing belt on my model?,service,medium,Service Scheduling Team
CASE-0010,The USB ports stopped charging my devices.,technical,low,Technical Support Team
CASE-0011,My battery died overnight and I can't start the car for work tomorrow.,service,high,Service Scheduling Team
CASE-0012,I want information about your internship and graduate programs.,other,low,General Correspondence / Triage Queue
CASE-0013,How long after ordering will I receive my VIN assignment?,ordering,low,Order Management Team
CASE-0014,My phone won't pair via wireless CarPlay after the update.,technical,medium,Technical Support Team
CASE-0015,A software update bricked my infotainment system and it won't boot.,technical,high,Technical Support Team
CASE-0016,How can my dealership network apply to co-host a launch event?,other,low,General Correspondence / Triage Queue
CASE-0017,I represent a charity seeking a vehicle donation for an auction.,other,low,General Correspondence / Triage Queue
CASE-0018,Can you check a slow tire leak that keeps losing pressure?,service,medium,Service Scheduling Team
CASE-0019,"My refund went to a closed card, how do I redirect it?",billing,medium,Billing & Payments Team
CASE-0020,The dealer says my issue isn't covered but I believe it should be.,warranty,high,Warranty Claims Team
CASE-0021,The 360 camera view is distorted and warped.,technical,medium,Technical Support Team
CASE-0022,Can I book an oil change for my sedan sometime next week?,service,low,Service Scheduling Team
CASE-0023,My adaptive cruise control disengages randomly on the highway.,technical,high,Technical Support Team
CASE-0024,How do I update the email address on my account?,general,low,Customer Care Team
CASE-0025,The refund amount is less than what I was originally charged.,billing,medium,Billing & Payments Team
CASE-0026,There's a subscription charge on my statement I never signed up for.,billing,medium,Billing & Payments Team
CASE-0027,My vehicle failed to download the safety-critical recall update.,technical,high,Technical Support Team
